importer1,importer2,flow1
Murray Hill,Ridgewood,2
Murray Hill,Soundview,4
Murray Hill,Upper East Side,15
Murray Hill,Wakefield-Williamsbridge,4
Nkew Gardens,Bensonhurst,2580
Nkew Gardens,Brownsville,41
Nkew Gardens,Flushing,28
Nkew Gardens,Jamaica,572
Nkew Gardens,Morris Park,228
Nkew Gardens,Parkchester,32
Nkew Gardens,The Rockaways,1690
Nkew Gardens,Throggs Neck,281
Nkew Gardens,Utopia,3349
North Sutton Area,Forest Hills,50940
North Sutton Area,Gramercy,1
North Sutton Area,Soundview,121
Park Slope,Clinton,80125
Park Slope,Glendale,1908
Park Slope,Greenwich Village,194
Park Slope,Kings Bridge,8
Park Slope,Lower East Side,10
Park Slope,Maspeth,6
