importer1,importer2,flow1
Bay Ridge,Bay Ridge,2719
Bay Ridge,Canarsie,55
Bay Ridge,East Village,52
Bay Ridge,Fort Green,125
Bay Ridge,Lower East Side,60
Bay Ridge,Morris Heights,5
Bay Ridge,Williamsburg,154
Baychester,Upper West Side,7
Bedford Park,Bedford-Stuyvesant,6
Bedford Park,Fordham,116
Bedford Park,Riverdale,38
Bedford Park,Sunny Side,5
Bedford-Stuyvesant,Bedford-Stuyvesant,19919
Bedford-Stuyvesant,Fordham,19
Bedford-Stuyvesant,Mott Haven,29
Bensonhurst,Hamilton Heights,8
Boerum Hill,Queens Village,8
Boerum Hill,South Bronx,58
Borough Park,Gramercy,368
Borough Park,Greenwood,271
Borough Park,High Bridge,7
Borough Park,North Sutton Area,33
Borough Park,Soho,189
Borough Park,Sunset Park,364
Borough Park,Tribeca,161
Brownsville,Park Slope,18
Bushwick,Financial District,283
Bushwick,Gramercy,597
Bushwick,Middle Village,63
Bushwick,Midtown,505
Bushwick,Ridgewood,1542
Canarsie,Downtown,14
Canarsie,Fort Green,34
Canarsie,Middle Village,5
Canarsie,Sunny Side,11
Carnegie Hill,Bay Ridge,214
Carnegie Hill,Jamaica,146
Carnegie Hill,Upper East Side,661570
Carroll Gardens,Auburndale,19
Carroll Gardens,Battery Park,3533
Carroll Gardens,Bensonhurst,355
Carroll Gardens,Brownsville,164
Carroll Gardens,Country Club,7
Carroll Gardens,Financial District,10932
Carroll Gardens,Midtown,14409
Carroll Gardens,Parkchester,10
Central Park,Cobble Hill,398
Central Park,Queens Village,18
Central Park,Soho,15780
Chelsea,Astoria-Long Island City,54265
Chelsea,East Brooklyn,1260
Chelsea,East Village,425499
Chelsea,Harlem,63630
Chelsea,Lower East Side,226175
Chelsea,Queens Village,266
Chelsea,Woodhaven-Richmond Hill,1371
Chinatown,Carroll Gardens,2500
City Island,Gramercy,5
Clearview,Auburndale,15
Clearview,Middle Village,5
Clinton,Auburndale,331
Clinton,Glendale,496
Clinton,Saintalbans,211
Clinton,Throggs Neck,603
Cobble Hill,Bedford Park,6
Cobble Hill,Chelsea,4962
Cobble Hill,Harlem,118
Cobble Hill,Middle Village,48
Corona,East Village,74
Corona,Fort Green,97
Corona,Greenwich Village,118
Corona,Williamsburg,55
Corona,Yorkville,58
Country Club,Baychester,26
Country Club,Canarsie,5
Country Club,Harlem,14
Country Club,Kings Bridge,9
Country Club,Morningside Heights,6
Country Club,Murray Hill,6
Country Club,Yorkville,8
Douglastown-Little Neck,Battery Park,13
Douglastown-Little Neck,Bushwick,10
Douglastown-Little Neck,Carnegie Hill,6
Douglastown-Little Neck,Cobble Hill,5
Douglastown-Little Neck,Douglastown-Little Neck,1589
Downtown,Morris Heights,40
Downtown,Tremont,55
Downtown,University Heights,37
Downtown,Washington Heights,616
Dyker Heights,Sunset Park,43
East Brooklyn,Astoria-Long Island City,15
East Brooklyn,Garment District,43
East Brooklyn,Gramercy,45
East Brooklyn,Morningside Heights,7
East Brooklyn,University Heights,7
East Brooklyn,Washington Heights,10
East Brooklyn,Yorkville,13
East Harlem,Inwood,937
East Harlem,Murray Hill,5727
East Harlem,Yorkville,63584
East Village,Gravesend-Sheepshead Bay,2765
East Village,Murray Hill,230910
East Village,Tremont,633
Financial District,Bedford-Stuyvesant,12346
Financial District,Douglastown-Little Neck,369
Financial District,Park Slope,23854
Financial District,South Bronx,778
Financial District,Union Port,207
Flatbush,Garment District,7
Flatbush,Greenwood,8
Flushing,Auburndale,257
Flushing,Bedford Park,12
Flushing,Cobble Hill,12
Flushing,Harlem,77
Flushing,Midtown,1924
Flushing,Murray Hill,445
Flushing,Queens Village,23
Flushing,The Rockaways,8
Flushing,Williamsburg,113
Flushing,Woodside,202
Fordham,Jackson Heights,8
Fordham,South Bronx,82
Forest Hills,Fordham,11
Forest Hills,Upper West Side,769
Fort Green,Cobble Hill,4305
Fort Green,Laurelton,46
Fort Green,Little Italy,3364
Fort Green,Murray Hill,3893
Fort Green,Nkew Gardens,244
Fort Green,University Heights,33
Fort Green,Washington Heights,733
Fort Green,Woodhaven-Richmond Hill,224
Garment District,East Village,218703
Garment District,Riverdale,2626
Garment District,Sunny Side,34384
Garment District,Woodlawn-Nordwood,867
Garment District,Woodside,9445
Glendale,Auburndale,6
Glendale,Bushwick,65
Glendale,East Harlem,6
Glendale,Laurelton,6
Gramercy,Battery Park,107914
Gramercy,Chelsea,987019
Gramercy,Dyker Heights,1791
Gramercy,Laurelton,132
Gramercy,Middle Village,3593
Gramercy,Morningside Heights,25772
Gravesend-Sheepshead Bay,Baychester,5
Gravesend-Sheepshead Bay,Canarsie,166
Gravesend-Sheepshead Bay,Dyker Heights,35
Gravesend-Sheepshead Bay,Middle Village,5
Gravesend-Sheepshead Bay,Ridgewood,7
Gravesend-Sheepshead Bay,Springfield Gardens,8
Gravesend-Sheepshead Bay,Utopia,7
Gravesend-Sheepshead Bay,Williamsburg,28
Greenwich Village,Chinatown,39821
Greenwich Village,Glendale,724
Greenwood,Clinton,162
Greenwood,Flushing,11
Greenwood,Maspeth,11
Greenwood,North Sutton Area,29
Greenwood,Soho,143
Greenwood,Tribeca,203
Hamilton Heights,Dyker Heights,23
Hamilton Heights,Fort Green,410
Hamilton Heights,High Bridge,1188
Hamilton Heights,Sunset Park,114
Harlem,Gravesend-Sheepshead Bay,48
Harlem,Hamilton Heights,29500
Harlem,Morris Park,426
Harlem,University Heights,638
Harlem,Washington Heights,18245
High Bridge,Gramercy,197
High Bridge,Riverdale,33
Hunts Point,Garment District,24
Hunts Point,Little Italy,5
Hunts Point,Utopia,5
Inwood,Fordham,126
Inwood,Queens Village,5
Jackson Heights,Country Club,48
Jackson Heights,High Bridge,191
Jackson Heights,Hunts Point,70
Jackson Heights,Laurelton,25
Jackson Heights,Mapleton-Flatlands,108
Jackson Heights,Morningside Heights,627
Jackson Heights,Sunset Park,131
Jamaica,South Bronx,18
Kings Bridge,Clinton,18
Kings Bridge,Downtown,6
Kings Bridge,Financial District,12
Kings Bridge,Maspeth,5
Kings Bridge,Morris Heights,34
Kings Bridge,South Bronx,45
Kings Bridge,The Rockaways,5
Kings Bridge,Tribeca,8
Laurelton,Chelsea,10
Laurelton,Cobble Hill,5
Laurelton,Flushing,6
Laurelton,Fort Green,7
Laurelton,Garment District,17
Laurelton,Inwood,5
Laurelton,Mapleton-Flatlands,5
Laurelton,Murray Hill,14
Little Italy,Borough Park,971
Little Italy,Corona,8
Little Italy,Greenwich Village,132926
Little Italy,Murray Hill,51514
Little Italy,North Sutton Area,6659
Little Italy,Ridgewood,922
Little Italy,The Rockaways,49
Little Italy,Utopia,236
Lower East Side,Canarsie,945
Lower East Side,Mapleton-Flatlands,3931
Lower East Side,Murray Hill,107829
Lower East Side,Queens Village,129
Mapleton-Flatlands,Gramercy,206
Mapleton-Flatlands,Morris Park,6
Mapleton-Flatlands,The Rockaways,18
Maspeth,Greenwich Village,301
Maspeth,Jackson Heights,297
Maspeth,Upper West Side,190
Maspeth,Washington Heights,14
Middle Village,Fort Green,16
Middle Village,Jamaica,22
Middle Village,Laurelton,5
Middle Village,Little Italy,7
Middle Village,Nkew Gardens,62
Midtown,Laurelton,815
Midtown,Spuyten Duyvil,5068
Midtown,Steinway,21
Morningside Heights,Gramercy,19374
Morningside Heights,Park Slope,917
Morningside Heights,Union Port,121
Morningside Heights,Williams Bridge,146
Morris Heights,Bedford-Stuyvesant,6
Morris Heights,Forest Hills,8
Morris Heights,Garment District,26
Morris Park,Country Club,26
Morris Park,Gramercy,18
Morris Park,Hamilton Heights,18
Morris Park,Morris Park,509
Morris Park,Parkchester,101
Mott Haven,Carnegie Hill,116
Mott Haven,Greenwood,10
Mott Haven,Steinway,7
Murray Hill,Bushwick,3262
Murray Hill,Cobble Hill,3156
Murray Hill,North Sutton Area,66822
Murray Hill,Ridgewood,1873
Murray Hill,Soundview,747
Murray Hill,Upper East Side,656300
Murray Hill,Wakefield-Williamsbridge,321
Nkew Gardens,Bensonhurst,6
Nkew Gardens,Brownsville,12
Nkew Gardens,Flushing,441
Nkew Gardens,Jamaica,598
Nkew Gardens,Morris Park,8
Nkew Gardens,Parkchester,13
Nkew Gardens,The Rockaways,24
Nkew Gardens,Throggs Neck,10
Nkew Gardens,Utopia,1583
North Sutton Area,Forest Hills,2654
North Sutton Area,Gramercy,185530
North Sutton Area,Soundview,427
Park Slope,Clinton,1116
Park Slope,Glendale,43
Park Slope,Greenwich Village,3300
Park Slope,Kings Bridge,48
Park Slope,Lower East Side,4328
Park Slope,Maspeth,78
Park Slope,Park Slope,35711
Park Slope,South Bronx,34
Park Slope,Tribeca,1558
Park Slope,Union Port,10
Parkchester,Boerum Hill,5
Parkchester,Lower East Side,18
Parkchester,University Heights,11
Parkchester,Washington Heights,48
Parkchester,Woodhaven-Richmond Hill,9
Queens Village,Battery Park,7
Queensboro Hill,Astoria-Long Island City,51
Queensboro Hill,Greenwich Village,8
Queensboro Hill,Hamilton Heights,5
Queensboro Hill,Middle Village,7
Ridgewood,Battery Park,10
Ridgewood,Bushwick,586
Ridgewood,Jamaica,33
Ridgewood,Morris Park,5
Ridgewood,Springfield Gardens,7
Riverdale,Kings Bridge,144
Riverdale,Lower East Side,14
Riverdale,Soho,6
Riverdale,Wakefield-Williamsbridge,11
Saintalbans,Canarsie,9
Saintalbans,Hamilton Heights,5
Soho,Flatbush,38
Soho,High Bridge,572
Soho,Mott Haven,778
Soho,Riverdale,602
Soho,Sunset Park,2559
Soundview,Central Park,14
Soundview,Jamaica,5
South Bronx,East Village,41
South Bronx,Garment District,79
South Bronx,Queens Village,6
South Bronx,Springfield Gardens,5
South Bronx,Williamsburg,12
Springfield Gardens,Chinatown,15
Springfield Gardens,Clinton,148
Springfield Gardens,Dyker Heights,9
Springfield Gardens,Maspeth,7
Springfield Gardens,Throggs Neck,5
Springfield Gardens,Tribeca,67
Springfield Gardens,Upper East Side,238
Springfield Gardens,West Village,51
Spuyten Duyvil,Central Park,7
Spuyten Duyvil,Park Slope,5
Spuyten Duyvil,Union Port,5
Spuyten Duyvil,Washington Heights,54
Spuyten Duyvil,Williams Bridge,7
Sunny Side,City Island,6
Sunny Side,Corona,19
Sunny Side,Kings Bridge,99
Sunny Side,Mott Haven,508
Sunny Side,Utopia,748
Sunset Park,Astoria-Long Island City,54
Sunset Park,Mapleton-Flatlands,226
Sunset Park,Middle Village,8
Sunset Park,Mott Haven,6
The Rockaways,Lower East Side,5
Throggs Neck,Greenwich Village,6
Throggs Neck,North Sutton Area,6
Throggs Neck,Upper East Side,20
Tremont,Chinatown,6
Tremont,High Bridge,79
Tremont,Hunts Point,25
Tremont,Jackson Heights,6
Tremont,Morningside Heights,13
Tremont,Sunset Park,5
Tremont,Throggs Neck,18
Tribeca,Bensonhurst,997
Tribeca,Brownsville,435
Tribeca,Sunny Side,6565
Tribeca,Tremont,197
Union Port,Morris Heights,18
Union Port,Woodlawn-Nordwood,6
University Heights,Little Italy,8
Upper East Side,Astoria-Long Island City,127430
Upper East Side,Carnegie Hill,761522
Upper East Side,Greenwood,2578
Upper East Side,Inwood,9433
Upper East Side,Upper East Side,6840369
Upper West Side,Baychester,221
Upper West Side,Dyker Heights,333
Upper West Side,Hamilton Heights,128790
Upper West Side,Lower East Side,64353
Utopia,Financial District,183
Utopia,Fort Green,25
Utopia,Gravesend-Sheepshead Bay,10
Utopia,The Rockaways,7
Wakefield-Williamsbridge,Jackson Heights,5
Wakefield-Williamsbridge,Upper West Side,16
Washington Heights,Flushing,102
Washington Heights,Wakefield-Williamsbridge,114
West Village,Astoria-Long Island City,20035
West Village,Borough Park,2073
West Village,City Island,11
West Village,Flushing,555
West Village,Fort Green,30308
West Village,Little Italy,67742
West Village,Lower East Side,132026
West Village,Mapleton-Flatlands,2309
West Village,Nkew Gardens,976
West Village,North Sutton Area,14797
Williams Bridge,Gravesend-Sheepshead Bay,5
Williams Bridge,Morris Heights,16
Williamsburg,Country Club,13
Williamsburg,Laurelton,20
Williamsburg,The Rockaways,39
Williamsburg,Woodside,2184
Woodhaven-Richmond Hill,Bushwick,54
Woodhaven-Richmond Hill,Douglastown-Little Neck,25
Woodhaven-Richmond Hill,The Rockaways,26
Woodlawn-Nordwood,Baychester,5
Woodlawn-Nordwood,Hamilton Heights,7
Woodlawn-Nordwood,Inwood,14
Woodlawn-Nordwood,Jackson Heights,5
Woodlawn-Nordwood,Wakefield-Williamsbridge,41
Woodside,Central Park,808
Woodside,Dyker Heights,12
Woodside,Glendale,110
Woodside,Lower East Side,991
Woodside,South Bronx,112
Woodside,Spuyten Duyvil,10
Yorkville,Baychester,81
Yorkville,Clinton,21571
Yorkville,Douglastown-Little Neck,89
Yorkville,High Bridge,2231
Yorkville,Maspeth,234
Yorkville,Sunset Park,157
Yorkville,Tribeca,4020
Astoria-Long Island City,Forest Hills,5811
Astoria-Long Island City,Gravesend-Sheepshead Bay,274
Astoria-Long Island City,High Bridge,802
Astoria-Long Island City,Sunset Park,429
Astoria-Long Island City,Tremont,456
Auburndale,Lower East Side,7
Battery Park,Bedford-Stuyvesant,1424
Battery Park,Hamilton Heights,729
Battery Park,Laurelton,19
Battery Park,Morris Park,74
Battery Park,Parkchester,153
Battery Park,Upper East Side,58223
Battery Park,Woodhaven-Richmond Hill,165
Bay Ridge,Astoria-Long Island City,29
Bay Ridge,Battery Park,29
Bay Ridge,Fordham,5
Bay Ridge,High Bridge,5
Bay Ridge,Mapleton-Flatlands,198
Bay Ridge,Mott Haven,6
Baychester,Fordham,13
Baychester,Soundview,8
Baychester,Woodlawn-Nordwood,6
Bedford Park,Carnegie Hill,6
Bedford Park,Kings Bridge,99
Bedford Park,South Bronx,49
Bedford-Stuyvesant,Cobble Hill,242
Bedford-Stuyvesant,Inwood,25
Bensonhurst,Bensonhurst,1083
Bensonhurst,Brownsville,9
Bensonhurst,Bushwick,11
Bensonhurst,Forest Hills,10
Bensonhurst,The Rockaways,5
Boerum Hill,Bedford-Stuyvesant,12251
Boerum Hill,Borough Park,2170
Boerum Hill,Fort Green,29710
Boerum Hill,Hamilton Heights,259
Boerum Hill,Little Italy,1437
Boerum Hill,Nkew Gardens,88
Boerum Hill,Riverdale,18
Borough Park,Astoria-Long Island City,70
Borough Park,Borough Park,8806
Borough Park,East Brooklyn,26
Borough Park,Little Italy,61
Borough Park,Morningside Heights,20
Borough Park,Nkew Gardens,12
Brownsville,Astoria-Long Island City,11
Brownsville,Central Park,8
Brownsville,Chelsea,22
Brownsville,Garment District,15
Brownsville,Queens Village,9
Bushwick,Astoria-Long Island City,592
Bushwick,East Brooklyn,305
Bushwick,Glendale,173
Bushwick,Hunts Point,7
Bushwick,Tremont,8
Bushwick,Woodlawn-Nordwood,5
Canarsie,Astoria-Long Island City,8
Canarsie,Hamilton Heights,5
Canarsie,Mott Haven,5
Canarsie,The Rockaways,15
Canarsie,Woodhaven-Richmond Hill,10
Carnegie Hill,Borough Park,222
Carnegie Hill,Canarsie,24
Carnegie Hill,Carnegie Hill,70234
Carnegie Hill,Little Italy,2038
Carnegie Hill,Mapleton-Flatlands,210
Carnegie Hill,Morningside Heights,23993
Carnegie Hill,Nkew Gardens,183
Carnegie Hill,Sunny Side,1903
Carnegie Hill,Tribeca,8381
Carroll Gardens,Carnegie Hill,389
Carroll Gardens,Hamilton Heights,178
Carroll Gardens,Queens Village,7
Carroll Gardens,Soundview,7
Carroll Gardens,South Bronx,38
Carroll Gardens,Tremont,8
Central Park,Canarsie,53
Central Park,Chelsea,55822
Central Park,City Island,10
Central Park,Downtown,1209
Central Park,Forest Hills,1024
Central Park,Fort Green,1880
Central Park,Upper East Side,470887
Central Park,Wakefield-Williamsbridge,87
Chelsea,Boerum Hill,13787
Chelsea,Flatbush,37
Chelsea,Fort Green,61733
Chelsea,Soundview,1278
Chinatown,Flatbush,12
Chinatown,Fordham,85
Chinatown,Riverdale,65
Clinton,Borough Park,2375
Clinton,City Island,44
Clinton,Little Italy,26328
Clinton,Mapleton-Flatlands,2500
Clinton,Morningside Heights,28983
Clinton,Nkew Gardens,1904
Clinton,Soho,100360
Clinton,Woodside,5608
Cobble Hill,Battery Park,1416
Cobble Hill,Flushing,47
Cobble Hill,Jackson Heights,222
Cobble Hill,Park Slope,7119
Cobble Hill,Ridgewood,73
Cobble Hill,Upper West Side,2056
Corona,Battery Park,62
Corona,Downtown,60
Corona,High Bridge,16
Corona,Mott Haven,11
Corona,Riverdale,12
Corona,Spuyten Duyvil,8
Corona,Sunset Park,14
Country Club,Country Club,230
Douglastown-Little Neck,Bedford-Stuyvesant,7
Douglastown-Little Neck,Jamaica,85
Douglastown-Little Neck,Morningside Heights,7
Douglastown-Little Neck,Woodhaven-Richmond Hill,14
Downtown,Borough Park,1574
Downtown,Flushing,326
Downtown,Little Italy,4416
Downtown,Nkew Gardens,365
Downtown,Queens Village,21
Downtown,Riverdale,92
Dyker Heights,Bushwick,6
Dyker Heights,Carroll Gardens,15
Dyker Heights,Clinton,15
Dyker Heights,Middle Village,5
Dyker Heights,Tribeca,12
Dyker Heights,Yorkville,7
East Brooklyn,Bay Ridge,10
East Brooklyn,Glendale,15
East Brooklyn,High Bridge,5
East Brooklyn,Morris Heights,5
East Brooklyn,Springfield Gardens,16
East Brooklyn,Sunset Park,12
East Harlem,Fordham,495
East Harlem,Kings Bridge,284
East Harlem,University Heights,477
East Village,Canarsie,669
East Village,Downtown,21741
East Village,Fort Green,76643
East Village,Greenwich Village,477699
East Village,North Sutton Area,44481
Financial District,Astoria-Long Island City,12653
Financial District,Corona,21
Financial District,Forest Hills,4645
Financial District,Hamilton Heights,3279
Financial District,Jamaica,1026
Financial District,Middle Village,1333
Financial District,Woodhaven-Richmond Hill,902
Financial District,Yorkville,10335
Flatbush,Central Park,5
Flatbush,Midtown,10
Flushing,Battery Park,94
Flushing,Bedford-Stuyvesant,45
Flushing,Country Club,9
Flushing,Gramercy,547
Flushing,Tremont,11
Flushing,Wakefield-Williamsbridge,5
Fordham,Carnegie Hill,7
Fordham,Upper East Side,54
Fordham,Utopia,5
Forest Hills,Gramercy,1318
Forest Hills,Morris Heights,10
Forest Hills,Soundview,17
Forest Hills,University Heights,50
Forest Hills,Washington Heights,282
Fort Green,Bushwick,9388
Fort Green,East Village,14034
Fort Green,Fort Green,74494
Fort Green,Jamaica,251
Fort Green,Lower East Side,15930
Fort Green,North Sutton Area,684
Fort Green,The Rockaways,80
Fort Green,Williamsburg,38650
Garment District,Astoria-Long Island City,55908
Garment District,Chelsea,634838
Garment District,Gramercy,853844
Garment District,Morris Park,1261
Gramercy,Auburndale,622
Gramercy,Flatbush,53
Gramercy,Greenwich Village,819547
Gramercy,Morris Park,1132
Gramercy,North Sutton Area,117505
Gramercy,Soho,389603
Gramercy,Springfield Gardens,401
Gravesend-Sheepshead Bay,Battery Park,23
Gravesend-Sheepshead Bay,Cobble Hill,21
Greenwich Village,Bay Ridge,8420
Greenwich Village,Central Park,42430
Greenwich Village,East Brooklyn,1172
Greenwich Village,Jamaica,1339
Greenwich Village,Murray Hill,283788
Greenwich Village,Upper West Side,241608
Greenwich Village,Woodlawn-Nordwood,528
Greenwich Village,Woodside,5890
Greenwood,Bensonhurst,91
Greenwood,Financial District,370
Greenwood,Throggs Neck,5
Greenwood,West Village,261
Greenwood,Yorkville,35
Hamilton Heights,Mott Haven,1783
Hamilton Heights,Throggs Neck,51
Harlem,Carnegie Hill,10992
Harlem,Central Park,17232
Harlem,Clearview,27
Harlem,Corona,15
Harlem,Greenwood,121
Harlem,Jamaica,346
Harlem,Middle Village,47
High Bridge,Cobble Hill,5
High Bridge,Glendale,6
High Bridge,Kings Bridge,64
High Bridge,Queensboro Hill,6
High Bridge,Sunny Side,28
Hunts Point,Bedford-Stuyvesant,8
Hunts Point,Canarsie,5
Hunts Point,Clinton,11
Hunts Point,East Village,14
Hunts Point,High Bridge,22
Hunts Point,Jackson Heights,10
Hunts Point,Upper West Side,33
Hunts Point,Williamsburg,5
Inwood,Soho,56
Inwood,Williams Bridge,29
Jackson Heights,Auburndale,153
Jackson Heights,Flatbush,5
Jackson Heights,Inwood,79
Jackson Heights,Morris Heights,48
Jackson Heights,Queensboro Hill,474
Jackson Heights,Woodlawn-Nordwood,13
Jamaica,Bushwick,26
Jamaica,Douglastown-Little Neck,58
Jamaica,Fort Green,48
Jamaica,Harlem,364
Jamaica,Morris Heights,7
Kings Bridge,Spuyten Duyvil,124
Kings Bridge,West Village,7
Laurelton,West Village,5
Little Italy,Bedford Park,159
Little Italy,Kings Bridge,101
Little Italy,Queensboro Hill,85
Little Italy,Wakefield-Williamsbridge,53
Little Italy,Williams Bridge,40
Lower East Side,Harlem,22273
Lower East Side,Soho,155407
Lower East Side,Soundview,444
Lower East Side,Throggs Neck,213
Lower East Side,Woodlawn-Nordwood,210
Mapleton-Flatlands,Astoria-Long Island City,49
Mapleton-Flatlands,Clinton,119
Mapleton-Flatlands,Douglastown-Little Neck,6
Mapleton-Flatlands,Laurelton,9
Mapleton-Flatlands,Maspeth,10
Mapleton-Flatlands,Park Slope,469
Mapleton-Flatlands,Tribeca,76
Mapleton-Flatlands,Union Port,5
Maspeth,East Brooklyn,15
Maspeth,Mapleton-Flatlands,7
Maspeth,Midtown,1805
Maspeth,Murray Hill,474
Maspeth,Ridgewood,284
Maspeth,Sunny Side,453
Middle Village,Astoria-Long Island City,58
Middle Village,Boerum Hill,7
Middle Village,East Brooklyn,15
Middle Village,East Village,32
Middle Village,Greenwich Village,17
Middle Village,Harlem,6
Middle Village,Williamsburg,40
Middle Village,Woodhaven-Richmond Hill,118
Midtown,Bensonhurst,4517
Midtown,Brownsville,1614
Midtown,Bushwick,14337
Midtown,Fort Green,65602
Midtown,Garment District,2007696
Midtown,Jamaica,6575
Midtown,Parkchester,5090
Morningside Heights,Bensonhurst,30
Morningside Heights,Brownsville,38
Morningside Heights,Garment District,19468
Morningside Heights,Glendale,34
Morningside Heights,Lower East Side,5356
Morningside Heights,Morningside Heights,95198
Morningside Heights,Morris Park,229
Morningside Heights,Parkchester,329
Morningside Heights,Queens Village,19
Morningside Heights,The Rockaways,14
Morris Heights,Downtown,6
Morris Heights,Jamaica,6
Morris Heights,Lower East Side,12
Morris Heights,Soundview,32
Morris Park,Chelsea,12
Morris Park,Morris Heights,13
Morris Park,South Bronx,46
Mott Haven,Auburndale,6
Mott Haven,Central Park,268
Mott Haven,Dyker Heights,5
Mott Haven,Hunts Point,159
Murray Hill,Carnegie Hill,36525
Murray Hill,City Island,52
Nkew Gardens,Nkew Gardens,5504
Nkew Gardens,Soundview,5
Nkew Gardens,South Bronx,13
Nkew Gardens,Tribeca,81
North Sutton Area,Clearview,61
North Sutton Area,Garment District,87467
North Sutton Area,Morris Heights,207
North Sutton Area,Upper East Side,402268
Park Slope,Hunts Point,8
Park Slope,Woodside,349
Park Slope,Yorkville,314
Parkchester,East Harlem,35
Parkchester,Garment District,37
Parkchester,Harlem,76
Parkchester,Mapleton-Flatlands,5
Parkchester,Saintalbans,5
Parkchester,Throggs Neck,76
Queens Village,Astoria-Long Island City,9
Queens Village,Financial District,10
Queens Village,Soho,8
Queens Village,Upper West Side,19
Queensboro Hill,Forest Hills,27
Queensboro Hill,Fort Green,11
Queensboro Hill,Sunny Side,27
Queensboro Hill,Williams Bridge,6
Ridgewood,Hamilton Heights,9
Ridgewood,Queens Village,8
Riverdale,Bay Ridge,5
Riverdale,Chelsea,25
Riverdale,Country Club,7
Riverdale,East Harlem,18
Saintalbans,Forest Hills,7
Saintalbans,Sunny Side,6
Soho,Corona,15
Soho,Douglastown-Little Neck,181
Soho,East Village,188231
Soho,Fordham,269
Soho,Jackson Heights,4336
Soho,Upper West Side,113422
Soundview,Clinton,26
Soundview,Laurelton,5
Soundview,Morris Park,50
Soundview,Parkchester,82
Soundview,Tribeca,8
Soundview,Wakefield-Williamsbridge,39
South Bronx,Bensonhurst,5
South Bronx,Brownsville,9
South Bronx,Parkchester,101
South Bronx,Queensboro Hill,5
Springfield Gardens,Bay Ridge,9
Springfield Gardens,Douglastown-Little Neck,23
Springfield Gardens,Flushing,14
Spuyten Duyvil,Inwood,88
Spuyten Duyvil,Lower East Side,6
Spuyten Duyvil,Soundview,8
Spuyten Duyvil,Woodside,6
Steinway,Astoria-Long Island City,7
Steinway,Upper West Side,11
Sunny Side,Chelsea,11888
Sunny Side,Downtown,1587
Sunset Park,Fordham,7
Sunset Park,High Bridge,5
Sunset Park,Jackson Heights,30
Sunset Park,Sunset Park,2205
Sunset Park,Upper West Side,56
The Rockaways,Garment District,8
The Rockaways,Mapleton-Flatlands,7
The Rockaways,The Rockaways,375
Throggs Neck,Chinatown,5
Throggs Neck,East Harlem,6
Throggs Neck,East Village,8
Throggs Neck,Financial District,7
Throggs Neck,Utopia,6
Throggs Neck,Wakefield-Williamsbridge,10
Tremont,Garment District,22
Tremont,North Sutton Area,7
Tremont,Upper East Side,58
Tribeca,Carroll Gardens,10519
Tribeca,Chinatown,21866
Tribeca,Mapleton-Flatlands,2465
Tribeca,South Bronx,491
Tribeca,Woodside,1755
Union Port,Hunts Point,32
Union Port,Sunny Side,12
Union Port,Wakefield-Williamsbridge,22
Union Port,Williams Bridge,20
Union Port,Woodside,5
University Heights,East Village,12
University Heights,Midtown,32
University Heights,Williamsburg,5
Upper East Side,Dyker Heights,1127
Upper East Side,Flatbush,55
Upper East Side,Fort Green,24869
Upper West Side,Bedford-Stuyvesant,6234
Upper West Side,Downtown,6328
Upper West Side,High Bridge,7654
Upper West Side,Hunts Point,873
Upper West Side,Sunset Park,1276
Utopia,Central Park,84
Utopia,Fordham,6
Utopia,Mott Haven,13
Utopia,Woodside,50
Utopia,Yorkville,67
Wakefield-Williamsbridge,East Harlem,8
Wakefield-Williamsbridge,Forest Hills,5
Wakefield-Williamsbridge,Upper East Side,18
Washington Heights,Bensonhurst,23
Washington Heights,Douglastown-Little Neck,17
Washington Heights,Jamaica,80
Washington Heights,Soundview,234
West Village,Bedford Park,540
West Village,Corona,12
West Village,Fordham,380
West Village,Mott Haven,972
West Village,Steinway,5
West Village,Williamsburg,41072
Williams Bridge,Central Park,5
Williams Bridge,Clinton,8
Williams Bridge,Spuyten Duyvil,6
Williams Bridge,Tribeca,6
Williamsburg,Bedford-Stuyvesant,51336
Williamsburg,Gramercy,25658
Williamsburg,High Bridge,191
Williamsburg,Morris Heights,57
Williamsburg,Sunset Park,2155
Woodhaven-Richmond Hill,Harlem,16
Woodhaven-Richmond Hill,Queensboro Hill,9
Woodhaven-Richmond Hill,West Village,21
Woodlawn-Nordwood,Financial District,6
Woodlawn-Nordwood,Parkchester,8
Woodlawn-Nordwood,Upper East Side,19
Woodside,Flatbush,8
Woodside,Garment District,2584
Woodside,Inwood,45
Woodside,University Heights,32
Woodside,Washington Heights,576
Yorkville,Ridgewood,232
Yorkville,The Rockaways,36
Astoria-Long Island City,Carnegie Hill,1694
Astoria-Long Island City,Douglastown-Little Neck,285
Astoria-Long Island City,Fort Green,3353
Astoria-Long Island City,Sunny Side,50944
Auburndale,Downtown,5
Battery Park,Canarsie,125
Battery Park,Soho,80129
Battery Park,Sunny Side,1912
Bay Ridge,Borough Park,198
Bay Ridge,East Brooklyn,12
Bay Ridge,Yorkville,14
Baychester,Bedford Park,10
Bedford-Stuyvesant,Chelsea,1020
Bedford-Stuyvesant,City Island,5
Bedford-Stuyvesant,Sunny Side,476
Bensonhurst,Garment District,39
Bensonhurst,Mapleton-Flatlands,115
Bensonhurst,South Bronx,6
Boerum Hill,Bedford Park,21
Boerum Hill,Carnegie Hill,213
Boerum Hill,Carroll Gardens,13558
Boerum Hill,Clinton,1529
Boerum Hill,Maspeth,105
Boerum Hill,Morris Heights,9
Boerum Hill,Morris Park,33
